time		x		y		vx		vy		KineticEnergy		PotentialEnergy
0		1		0		0		6.28319		5.921762641e-05		0
0.01001001001		0.9960442507		0.06289474782		-0.3951793554		6.283185307		5.945187649e-05		-0.0001184352528
0.02002002002		0.9881249981		0.1255392221		-0.7911333313		6.258182979		5.968611922e-05		-0.0001186692694
0.03003003003		0.9762504955		0.1876811901		-1.186262812		6.207982601		5.991940115e-05		-0.0001189028039
0.04004004004		0.9604453465		0.2490675032		-1.578934387		6.132492682		6.015075044e-05		-0.0001191348946
0.05005005005		0.9407507794		0.3094451929		-1.967487255		6.031731197		6.037918101e-05		-0.0001193645635
0.06006006006		0.9172248446		0.3685626142		-2.350240885		5.90583039		6.060369721e-05		-0.0001195908207
0.07007007007		0.8899425281		0.4261706324		-2.725503412		5.755041016		6.082329893e-05		-0.0001198126693
0.08008008008		0.8589957739		0.482023845		-3.091580747		5.579735939		6.1036987e-05		-0.0001200291108
0.09009009009		0.8244934082		0.5358818324		-3.446786331		5.380412941		6.124376915e-05		-0.0001202391502
0.1001001001		0.786560961		0.5875104276		-3.789451475		5.157696668		6.144266611e-05		-0.0001204418029
0.1101101101		0.7453403785		0.6366829961		-4.1179362		4.912339586		6.163271814e-05		-0.0001206361001
0.1201201201		0.7009896231		0.6831817135		-4.430640462		4.645221869		6.181299167e-05		-0.0001208210962
0.1301301301		0.6536821591		0.7267988319		-4.726015648		4.357350133		6.198258612e-05		-0.0001209958749
0.1401401401		0.6036063212		0.7673379205		-5.00257621		4.049854951		6.214064079e-05		-0.0001211595564
0.1501501502		0.5509645667		0.8046150687		-5.258911279		3.723987103		6.228634167e-05		-0.000121311304
0.1601601602		0.4959726137		0.838460039		-5.493696097		3.381112535		6.241892817e-05		-0.0001214503311
0.1701701702		0.4388584685		0.8687173566		-5.705703114		3.022706021		6.253769958e-05		-0.0001215759077
0.1801801802		0.3798613457		0.8952473221		-5.893812561		2.650343556		6.264202121e-05		-0.0001216873667
0.1901901902		0.3192304915		0.9179269369		-6.057022341		2.265693519		6.273133013e-05		-0.0001217841098
0.2002002002		0.2572239143		0.9366507276		-6.19445706		1.870506689		6.280514032e-05		-0.0001218656127
0.2102102102		0.1941070367		0.9513314604		-6.305376065		1.466605209		6.286304725e-05		-0.0001219314307
0.2202202202		0.1301512779		0.9619007358		-6.389180312		1.055870616		6.290473172e-05		-0.0001219812021
0.2302302302		0.06563257947		0.9683094555		-6.44541797		0.6402310912		6.292996298e-05		-0.000122014652
0.2402402402		0.0008298903428		0.9705281551		-6.473788644		0.2216480923		6.293860093e-05		-0.000122031595
0.2502502503		-0.06397637735		0.9685471996		-6.474146143		-0.1978974578		6.293059753e-05		-0.0001220319372
0.2602602603		-0.1285059042		0.9623768369		-6.446499736		-0.6164192303		6.290599726e-05		-0.0001220156766
0.2702702703		-0.1924800172		0.9520471111		-6.391013883		-1.031939606		6.286493671e-05		-0.0001219829035
0.2802802803		-0.2556232249		0.9376076352		-6.308006448		-1.442503646		6.280764318e-05		-0.0001219337996
0.2902902903		-0.3176647206		0.9191272275		-6.19794542		-1.846192728		6.273443252e-05		-0.0001218686361
0.3003003003		-0.3783398379		0.896693417		-6.061444218		-2.241137664		6.264570606e-05		-0.0001217877712
0.3103103103		-0.4373914462		0.8704118242		-5.899255674		-2.625531123		6.254194678e-05		-0.0001216916464
0.3203203203		-0.4945712739		0.8404054257		-5.712264788		-2.997639209		6.242371474e-05		-0.0001215807828
0.3303303303		-0.5496411479		0.8068137134		-5.501480412		-3.355812065		6.229164201e-05		-0.0001214557757
0.3403403403		-0.6023741409		0.7697917576		-5.268025999		-3.698493385		6.214642687e-05		-0.0001213172895
0.3503503504		-0.6525556181		0.7295091875		-5.013129577		-4.024228749		6.198882776e-05		-0.0001211660518
0.3603603604		-0.6999841779		0.6861491002		-4.738113119		-4.331672726		6.181965679e-05		-0.0001210028472
0.3703703704		-0.7444724809		0.6399069108		-4.444381476		-4.619594712		6.163977302e-05		-0.0001208285102
0.3803803804		-0.7858479669		0.5909891582		-4.133411045		-4.886883488		6.145007564e-05		-0.000120643919
0.3903903904		-0.8239534556		0.5396122762		-3.806738327		-5.132550509		6.125149713e-05		-0.0001204499887
0.4004004004		-0.8586476351		0.4860013455		-3.465948529		-5.355731981		6.104499639e-05		-0.0001202476637
0.4104104104		-0.8898054366		0.4303888355		-3.112664364		-5.555689751		6.083155208e-05		-0.0001200379121
0.4204204204		-0.917318301		0.3730133489		-2.748535154		-5.73181111		6.061215615e-05		-0.0001198217179
0.4304304304		-0.9410943407		0.3141183781		-2.375226368		-5.883607577		6.038780763e-05		-0.0001196000758
0.4404404404		-0.9610584015		0.2539510832		-1.994409674		-6.010712761		6.015950677e-05		-0.0001193739843
0.4504504505		-0.9771520311		0.1927610991		-1.607753598		-6.112879412		5.992824951e-05		-0.0001191444405
0.4604604605		-0.9893333607		0.1307993798		-1.216914829		-6.189975761		5.969502244e-05		-0.0001189124346
0.4704704705		-0.9975769066		0.06831708495		-0.8235302348		-6.241981255		5.946079806e-05		-0.0001186789453
0.4804804805		-1.001873299		0.00556451433		-0.4292095959		-6.268981805		5.922653063e-05		-0.0001184449349
0.4904904905		-1.002228945		-0.05720990647		-0.03552908732		-6.271164638		5.899315235e-05		-0.0001182113458
0.5005005005		-0.9986656371		-0.1197605858		0.3559745076		-6.248812861		5.876157004e-05		-0.0001179790965
0.5105105105		-0.991220103		-0.1818456692		0.7438088559		-6.202299833		5.853266225e-05		-0.0001177490788
