time		x		y		vx		vy		KineticEnergy		PotentialEnergy
0		1		0		0		6.28319		0		0
0.010101		0.997986		0.0634665		-0.398369		6.27053		5.92174e-05		-0.000118435
0.020202		0.991952		0.126677		-0.795129		6.23262		5.92167e-05		-0.000118434
0.030303		0.981923		0.189378		-1.18868		6.16961		5.92155e-05		-0.000118433
0.040404		0.967938		0.251316		-1.57742		6.08174		5.92138e-05		-0.000118431
0.0505051		0.950056		0.312242		-1.9598		5.96939		5.92117e-05		-0.000118429
0.0606061		0.928347		0.37191		-2.33425		5.83301		5.92091e-05		-0.000118427
0.0707071		0.902899		0.43008		-2.69929		5.67314		5.92061e-05		-0.000118424
0.0808081		0.873816		0.486519		-3.05342		5.49045		5.92026e-05		-0.00011842
0.0909091		0.841214		0.540998		-3.39523		5.28566		5.91987e-05		-0.000118416
0.10101		0.805225		0.5933		-3.72333		5.05962		5.91944e-05		-0.000118412
0.111111		0.765995		0.643213		-4.0364		4.81324		5.91898e-05		-0.000118407
0.121212		0.723682		0.690537		-4.3332		4.54751		5.91847e-05		-0.000118402
0.131313		0.678456		0.735082		-4.61251		4.26352		5.91793e-05		-0.000118397
0.141414		0.6305		0.776669		-4.87323		3.96241		5.91736e-05		-0.000118391
0.151515		0.580007		0.815131		-5.1143		3.64541		5.91676e-05		-0.000118385
0.161616		0.52718		0.850313		-5.33476		3.31379		5.91613e-05		-0.000118379
0.171717		0.472234		0.882076		-5.53373		2.9689		5.91548e-05		-0.000118373
0.181818		0.415388		0.910291		-5.71041		2.61212		5.9148e-05		-0.000118366
0.191919		0.356872		0.934846		-5.86411		2.24491		5.91411e-05		-0.000118359
0.20202		0.296921		0.955643		-5.9942		1.86874		5.91339e-05		-0.000118352
0.212121		0.235777		0.972598		-6.10018		1.48512		5.91267e-05		-0.000118344
0.222222		0.173685		0.985645		-6.18163		1.09561		5.91193e-05		-0.000118337
0.232323		0.110896		0.994732		-6.23822		0.701769		5.91118e-05		-0.00011833
0.242424		0.0476605		0.999822		-6.26975		0.305184		5.91043e-05		-0.000118322
0.252525		-0.015766		1.0009		-6.27609		-0.0925503		5.90968e-05		-0.000118315
0.262626		-0.0791292		0.997953		-6.25723		-0.489838		5.90892e-05		-0.000118307
0.272727		-0.142175		0.991001		-6.21325		-0.885083		5.90818e-05		-0.0001183
0.282828		-0.204649		0.980072		-6.14434		-1.2767		5.90743e-05		-0.000118292
0.292929		-0.266303		0.965209		-6.05079		-1.66312		5.9067e-05		-0.000118285
0.30303		-0.326888		0.946474		-5.93297		-2.0428		5.90598e-05		-0.000118278
0.313131		-0.386161		0.923941		-5.79138		-2.41422		5.90528e-05		-0.000118271
0.323232		-0.443885		0.897702		-5.62658		-2.77588		5.90459e-05		-0.000118264
0.333333		-0.499829		0.867862		-5.43925		-3.12635		5.90393e-05		-0.000118257
0.343434		-0.553769		0.834543		-5.23014		-3.46423		5.90329e-05		-0.000118251
0.353535		-0.605489		0.797878		-5.0001		-3.78817		5.90268e-05		-0.000118245
0.363636		-0.654781		0.758014		-4.75004		-4.09688		5.9021e-05		-0.000118239
0.373737		-0.701449		0.715113		-4.48099		-4.38912		5.90154e-05		-0.000118233
0.383838		-0.745306		0.669345		-4.19402		-4.66373		5.90102e-05		-0.000118228
0.393939		-0.786177		0.620896		-3.89028		-4.91962		5.90054e-05		-0.000118223
0.40404		-0.823898		0.569959		-3.57099		-5.15577		5.90009e-05		-0.000118219
0.414141		-0.858318		0.516739		-3.23743		-5.37125		5.89969e-05		-0.000118215
0.424242		-0.8893		0.461449		-2.89093		-5.56519		5.89932e-05		-0.000118211
0.434343		-0.916721		0.404311		-2.53289		-5.73682		5.899e-05		-0.000118208
0.444444		-0.94047		0.345554		-2.16473		-5.88547		5.89872e-05		-0.000118205
0.454545		-0.960452		0.285413		-1.78793		-6.01054		5.89848e-05		-0.000118203
0.464646		-0.976589		0.224129		-1.40398		-6.11153		5.89829e-05		-0.000118201
0.474747		-0.988816		0.161947		-1.01444		-6.18805		5.89815e-05		-0.0001182
0.484848		-0.997083		0.0991176		-0.620837		-6.23979		5.89805e-05		-0.000118199
0.494949		-1.00136		0.035891		-0.22476		-6.26654		5.89801e-05		-0.000118198
0.505051		-1.00162		-0.0274792		0.172214		-6.2682		5.898e-05		-0.000118198
0.515152		-0.997879		-0.0907393		0.568501		-6.24477		5.89805e-05		-0.000118199
0.525253		-0.990139		-0.153636		0.962519		-6.19633		5.89814e-05		-0.000118199
0.535354		-0.978434		-0.215918		1.35269		-6.12308		5.89829e-05		-0.000118201
0.545455		-0.962812		-0.277335		1.73747		-6.02531		5.89847e-05		-0.000118203
0.555556		-0.943334		-0.337641		2.11531		-5.9034		5.89871e-05		-0.000118205
0.565657		-0.920078		-0.396595		2.4847		-5.75785		5.89898e-05		-0.000118208
0.575758		-0.893138		-0.453961		2.84417		-5.58922		5.89931e-05		-0.000118211
0.585859		-0.86262		-0.509509		3.19227		-5.3982		5.89967e-05		-0.000118215
0.59596		-0.828647		-0.563016		3.52763		-5.18553		5.90007e-05		-0.000118219
0.606061		-0.791355		-0.614267		3.84888		-4.95206		5.90052e-05		-0.000118223
0.616162		-0.750892		-0.663057		4.15476		-4.69872		5.901e-05		-0.000118228
0.626263		-0.70742		-0.709191		4.44402		-4.42653		5.90152e-05		-0.000118233
0.636364		-0.661114		-0.752482		4.71551		-4.13655		5.90207e-05		-0.000118239
0.646465		-0.612158		-0.792758		4.96814		-3.82996		5.90265e-05		-0.000118244
0.656566		-0.560747		-0.829855		5.20089		-3.50796		5.90326e-05		-0.000118251
0.666667		-0.507089		-0.863625		5.41283		-3.17185		5.9039e-05		-0.000118257
0.676768		-0.451397		-0.893933		5.60309		-2.82296		5.90456e-05		-0.000118264
0.686869		-0.393895		-0.920655		5.77092		-2.46269		5.90525e-05		-0.00011827
0.69697		-0.334813		-0.943684		5.91562		-2.09248		5.90595e-05		-0.000118277
0.707071		-0.274388		-0.962927		6.03661		-1.71381		5.90667e-05		-0.000118285
0.717172		-0.212861		-0.978306		6.1334		-1.32818		5.9074e-05		-0.000118292
0.727273		-0.150481		-0.989759		6.20559		-0.937161		5.90814e-05		-0.000118299
0.737374		-0.087496		-0.997239		6.25288		-0.542301		5.90889e-05		-0.000118307
0.747475		-0.02416		-1.00071		6.27507		-0.145189		5.90964e-05		-0.000118314
0.757576		0.0392731		-1.00017		6.27207		0.252582		5.91039e-05		-0.000118322
0.767677		0.102548		-0.995612		6.24387		0.649415		5.91115e-05		-0.000118329
0.777778		0.165412		-0.987053		6.19058		1.04371		5.91189e-05		-0.000118337
0.787879		0.227611		-0.974527		6.1124		1.43389		5.91263e-05		-0.000118344
0.79798		0.288895		-0.958085		6.00965		1.81838		5.91336e-05		-0.000118351
0.808081		0.349018		-0.937792		5.88272		2.19563		5.91407e-05		-0.000118358
0.818182		0.407738		-0.913729		5.73211		2.56412		5.91477e-05		-0.000118365
0.828283		0.464818		-0.885992		5.55843		2.92236		5.91544e-05		-0.000118372
0.838384		0.520029		-0.854691		5.36236		3.2689		5.9161e-05		-0.000118379
0.848485		0.573148		-0.819953		5.14469		3.60236		5.91673e-05		-0.000118385
0.858586		0.623962		-0.781917		4.90629		3.92137		5.91733e-05		-0.000118391
0.868687		0.672265		-0.740734		4.64811		4.22466		5.9179e-05		-0.000118397
0.878788		0.717863		-0.69657		4.37119		4.51098		5.91844e-05		-0.000118402
0.888889		0.760572		-0.649603		4.07664		4.77919		5.91895e-05		-0.000118407
0.89899		0.80022		-0.600021		3.76565		5.02819		5.91941e-05		-0.000118412
0.909091		0.836646		-0.548023		3.43946		5.25697		5.91984e-05		-0.000118416
0.919192		0.869704		-0.493819		3.09938		5.46462		5.92023e-05		-0.00011842
0.929293		0.89926		-0.437627		2.7468		5.65028		5.92058e-05		-0.000118423
