time		x		y		vx		vy
0		0.998026		0.0628319		-0.394394		6.27078
0.01		0.992112		0.125416		-0.787227		6.23362
0.02		0.982282		0.187504		-1.17694		6.17186
0.03		0.968573		0.248853		-1.562		6.08573
0.04		0.951042		0.309219		-1.94087		5.97559
0.05		0.929756		0.368365		-2.31206		5.84186
0.06		0.9048		0.426056		-2.6741		5.68509
0.07		0.876274		0.482066		-3.02555		5.50589
0.08		0.844289		0.536174		-3.36504		5.30498
0.09		0.808973		0.588166		-3.69121		5.08316
0.1		0.770465		0.637837		-4.00279		4.84131
0.11		0.728917		0.684992		-4.29854		4.58039
0.12		0.684494		0.729445		-4.57729		4.30143
0.13		0.637371		0.771021		-4.83796		4.00555
0.14		0.587735		0.809556		-5.07951		3.69391
0.15		0.535781		0.844899		-5.30099		3.36776
0.16		0.481715		0.876911		-5.50155		3.02838
0.17		0.42575		0.905467		-5.68039		2.67712
0.18		0.368108		0.930454		-5.83681		2.31537
0.19		0.309014		0.951774		-5.97021		1.94456
0.2		0.248703		0.969345		-6.08006		1.56616
0.21		0.187413		0.983097		-6.16595		1.18165
0.22		0.125384		0.992978		-6.22754		0.792562
0.23		0.0628621		0.998948		-6.2646		0.400424
0.24		9.22932e-05		1.00099		-6.27699		0.00678232
0.25		-0.0626778		0.999084		-6.26468		-0.386813
0.26		-0.125201		0.99325		-6.22771		-0.778814
0.27		-0.187232		0.983508		-6.16625		-1.16768
0.28		-0.248526		0.969897		-6.08055		-1.55188
0.29		-0.308843		0.95247		-5.97095		-1.92991
0.3		-0.367945		0.931298		-5.83788		-2.30028
0.31		-0.425601		0.906465		-5.68189		-2.66154
0.32		-0.481583		0.878067		-5.50359		-3.01229
0.33		-0.535672		0.846219		-5.30368		-3.35113
0.34		-0.587657		0.811045		-5.08297		-3.67676
0.35		-0.637332		0.772684		-4.84232		-3.98789
0.36		-0.684503		0.731287		-4.58268		-4.28331
0.37		-0.728985		0.687018		-4.30507		-4.56186
0.38		-0.770604		0.64005		-4.01059		-4.82246
0.39		-0.809197		0.590568		-3.70039		-5.06409
0.4		-0.844612		0.538768		-3.3757		-5.28582
0.41		-0.876711		0.484852		-3.03779		-5.48676
0.42		-0.905368		0.429033		-2.68798		-5.66615
0.43		-0.930471		0.371529		-2.32765		-5.82328
0.44		-0.951921		0.312567		-1.95821		-5.95755
0.45		-0.969635		0.252378		-1.5811		-6.06842
0.46		-0.983543		0.191199		-1.1978		-6.15547
0.47		-0.993591		0.129269		-0.809816		-6.21836
0.48		-0.999739		0.0668315		-0.418662		-6.25684
0.49		-1.00196		0.00413198		-0.0258696		-6.27076
0.5		-1.00026		-0.0585837		0.367024		-6.26008
0.51		-0.994624		-0.12107		0.758482		-6.22482
0.52		-0.985087		-0.18308		1.14697		-6.16514
0.53		-0.971684		-0.244372		1.53097		-6.08125
0.54		-0.954468		-0.304705		1.90898		-5.9735
0.55		-0.933505		-0.363842		2.27952		-5.84228
0.56		-0.908877		-0.421551		2.64114		-5.68813
0.57		-0.880682		-0.477605		2.99241		-5.51163
0.58		-0.849029		-0.531784		3.33197		-5.31348
0.59		-0.814043		-0.583875		3.65848		-5.09445
0.6		-0.77586		-0.633673		3.97065		-4.85538
0.61		-0.73463		-0.680982		4.26727		-4.59722
0.62		-0.690514		-0.725617		4.54716		-4.32096
0.63		-0.643686		-0.767401		4.80923		-4.0277
0.64		-0.594329		-0.806171		5.05244		-3.71857
0.65		-0.542637		-0.841773		5.27583		-3.39478
0.66		-0.488813		-0.874066		5.47853		-3.05759
0.67		-0.433067		-0.902925		5.65971		-2.70834
0.68		-0.375618		-0.928233		5.81868		-2.34837
0.69		-0.316693		-0.949892		5.9548		-1.97911
0.7		-0.256523		-0.967815		6.06752		-1.602
0.71		-0.195343		-0.981932		6.15639		-1.21853
0.72		-0.133395		-0.992186		6.22106		-0.830185
0.73		-0.0709218		-0.998536		6.26125		-0.438505
0.74		-0.00816969		-1.00096		6.27682		-0.0450269
0.75		0.0546146		-0.999436		6.26767		0.348702
0.76		0.117184		-0.993982		6.23385		0.74113
0.77		0.179292		-0.984614		6.17548		1.13071
0.78		0.240693		-0.971368		6.09277		1.51591
0.79		0.301147		-0.954296		5.98604		1.89521
0.8		0.360414		-0.933464		5.85571		2.26711
0.81		0.418261		-0.908953		5.70228		2.63013
0.82		0.47446		-0.880861		5.52635		2.98285
0.83		0.528788		-0.849296		5.3286		3.32387
0.84		0.581032		-0.814384		5.10982		3.65184
0.85		0.630984		-0.77626		4.87085		3.96546
0.86		0.678449		-0.735074		4.61264		4.26348
0.87		0.723237		-0.69099		4.3362		4.54473
0.88		0.765173		-0.64418		4.04262		4.80809
0.89		0.804089		-0.594828		3.73305		5.0525
0.9		0.839834		-0.54313		3.40872		5.27701
0.91		0.872264		-0.489288		3.07091		5.48071
0.92		0.901252		-0.433515		2.72094		5.66281
0.93		0.926683		-0.376032		2.36021		5.82257
0.94		0.948456		-0.317064		1.99014		5.95935
0.95		0.966485		-0.256845		1.61219		6.07262
0.96		0.9807		-0.195612		1.22786		6.16193
0.97		0.991043		-0.133606		0.838671		6.22691
0.98		0.997473		-0.0710733		0.44616		6.26731
0.99		0.999966		-0.00825993		0.0518824		6.28297
