time		x		y		vx		vy
0		0		0.1		0		3.14159
0		1.97762e-08		-0.0659762		-9.68203e-06		28.7501
0.01		-1.93641e-07		0.675002		-1.98751e-05		73.6646
0.02		-3.77725e-07		1.40732		-1.7877e-05		73.1317
0.03		-5.5118e-07		2.13764		-1.71344e-05		72.9889
0.04		-7.20414e-07		2.86709		-1.6825e-05		72.9217
0.05		-8.87679e-07		3.59607		-1.66744e-05		72.8824
0.06		-1.0539e-06		4.32474		-1.65917e-05		72.8566
0.07		-1.21951e-06		5.0532		-1.65423e-05		72.8383
0.08		-1.38475e-06		5.78151		-1.65108e-05		72.8246
0.09		-1.54973e-06		6.50969		-1.64896e-05		72.8141
0.1		-1.71454e-06		7.23779		-1.6475e-05		72.8057
0.11		-1.87923e-06		7.96581		-1.64645e-05		72.7988
0.12		-2.04383e-06		8.69376		-1.64568e-05		72.7931
0.13		-2.20837e-06		9.42167		-1.64511e-05		72.7882
0.14		-2.37285e-06		10.1495		-1.64468e-05		72.7841
0.15		-2.5373e-06		10.8773		-1.64435e-05		72.7805
0.16		-2.70172e-06		11.6051		-1.6441e-05		72.7774
0.17		-2.86612e-06		12.3329		-1.6439e-05		72.7746
0.18		-3.0305e-06		13.0606		-1.64375e-05		72.7721
0.19		-3.19487e-06		13.7883		-1.64362e-05		72.7699
0.2		-3.35923e-06		14.516		-1.64353e-05		72.768
0.21		-3.52358e-06		15.2437		-1.64346e-05		72.7662
0.22		-3.68792e-06		15.9714		-1.6434e-05		72.7646
0.23		-3.85226e-06		16.699		-1.64335e-05		72.7631
0.24		-4.01659e-06		17.4266		-1.64332e-05		72.7617
0.25		-4.18092e-06		18.1542		-1.64329e-05		72.7605
0.26		-4.34525e-06		18.8818		-1.64327e-05		72.7593
0.27		-4.50957e-06		19.6094		-1.64326e-05		72.7583
0.28		-4.6739e-06		20.337		-1.64325e-05		72.7573
0.29		-4.83822e-06		21.0646		-1.64324e-05		72.7563
0.3		-5.00255e-06		21.7921		-1.64324e-05		72.7555
0.31		-5.16687e-06		22.5197		-1.64324e-05		72.7547
0.32		-5.33119e-06		23.2472		-1.64323e-05		72.7539
0.33		-5.49552e-06		23.9747		-1.64324e-05		72.7532
0.34		-5.65984e-06		24.7023		-1.64324e-05		72.7525
0.35		-5.82417e-06		25.4298		-1.64324e-05		72.7519
0.36		-5.98849e-06		26.1573		-1.64324e-05		72.7513
0.37		-6.15281e-06		26.8848		-1.64325e-05		72.7508
0.38		-6.31714e-06		27.6123		-1.64325e-05		72.7502
0.39		-6.48146e-06		28.3398		-1.64325e-05		72.7497
0.4		-6.64579e-06		29.0673		-1.64326e-05		72.7492
0.41		-6.81012e-06		29.7948		-1.64326e-05		72.7488
0.42		-6.97444e-06		30.5223		-1.64326e-05		72.7484
0.43		-7.13877e-06		31.2498		-1.64327e-05		72.7479
0.44		-7.3031e-06		31.9773		-1.64327e-05		72.7475
0.45		-7.46742e-06		32.7047		-1.64327e-05		72.7472
0.46		-7.63175e-06		33.4322		-1.64328e-05		72.7468
0.47		-7.79608e-06		34.1597		-1.64328e-05		72.7465
0.48		-7.96041e-06		34.8871		-1.64328e-05		72.7461
0.49		-8.12473e-06		35.6146		-1.64328e-05		72.7458
0.5		-8.28906e-06		36.342		-1.64328e-05		72.7455
0.51		-8.45339e-06		37.0695		-1.64329e-05		72.7452
0.52		-8.61772e-06		37.7969		-1.64329e-05		72.7449
0.53		-8.78205e-06		38.5244		-1.64329e-05		72.7447
0.54		-8.94638e-06		39.2518		-1.64329e-05		72.7444
0.55		-9.11071e-06		39.9793		-1.64329e-05		72.7441
0.56		-9.27503e-06		40.7067		-1.64329e-05		72.7439
0.57		-9.43936e-06		41.4342		-1.64329e-05		72.7437
0.58		-9.60369e-06		42.1616		-1.64329e-05		72.7434
0.59		-9.76802e-06		42.889		-1.64329e-05		72.7432
0.6		-9.93235e-06		43.6165		-1.64328e-05		72.743
0.61		-1.00967e-05		44.3439		-1.64328e-05		72.7428
0.62		-1.0261e-05		45.0713		-1.64328e-05		72.7426
0.63		-1.04253e-05		45.7987		-1.64328e-05		72.7424
0.64		-1.05897e-05		46.5262		-1.64328e-05		72.7422
0.65		-1.0754e-05		47.2536		-1.64328e-05		72.7421
0.66		-1.09183e-05		47.981		-1.64327e-05		72.7419
0.67		-1.10826e-05		48.7084		-1.64327e-05		72.7417
0.68		-1.1247e-05		49.4358		-1.64327e-05		72.7415
0.69		-1.14113e-05		50.1633		-1.64327e-05		72.7414
0.7		-1.15756e-05		50.8907		-1.64326e-05		72.7412
0.71		-1.174e-05		51.6181		-1.64326e-05		72.7411
0.72		-1.19043e-05		52.3455		-1.64326e-05		72.7409
0.73		-1.20686e-05		53.0729		-1.64325e-05		72.7408
0.74		-1.22329e-05		53.8003		-1.64325e-05		72.7407
0.75		-1.23973e-05		54.5277		-1.64325e-05		72.7405
0.76		-1.25616e-05		55.2551		-1.64325e-05		72.7404
0.77		-1.27259e-05		55.9825		-1.64324e-05		72.7403
0.78		-1.28902e-05		56.7099		-1.64324e-05		72.7401
0.79		-1.30545e-05		57.4373		-1.64324e-05		72.74
0.8		-1.32189e-05		58.1647		-1.64323e-05		72.7399
0.81		-1.33832e-05		58.8921		-1.64323e-05		72.7398
0.82		-1.35475e-05		59.6195		-1.64323e-05		72.7397
0.83		-1.37118e-05		60.3469		-1.64322e-05		72.7396
0.84		-1.38762e-05		61.0743		-1.64322e-05		72.7395
0.85		-1.40405e-05		61.8017		-1.64322e-05		72.7394
0.86		-1.42048e-05		62.5291		-1.64321e-05		72.7392
0.87		-1.43691e-05		63.2565		-1.64321e-05		72.7391
0.88		-1.45334e-05		63.9839		-1.64321e-05		72.7391
0.89		-1.46978e-05		64.7113		-1.6432e-05		72.739
0.9		-1.48621e-05		65.4387		-1.6432e-05		72.7389
0.91		-1.50264e-05		66.166		-1.6432e-05		72.7388
0.92		-1.51907e-05		66.8934		-1.64319e-05		72.7387
0.93		-1.5355e-05		67.6208		-1.64319e-05		72.7386
0.94		-1.55194e-05		68.3482		-1.64319e-05		72.7385
0.95		-1.56837e-05		69.0756		-1.64318e-05		72.7384
0.96		-1.5848e-05		69.803		-1.64318e-05		72.7383
0.97		-1.60123e-05		70.5304		-1.64318e-05		72.7383
0.98		-1.61766e-05		71.2577		-1.64317e-05		72.7382
0.99		-1.6341e-05		71.9851		-1.64317e-05		72.7381
