time		x		y		vx		vy		KineticEnergy		PotentialEnergy
0		0		0		0		0		0		0
0.010101		6.02979e-09		3.83462e-10		1.1939e-06		7.59255e-08		7.1558e-13		-0.000118435
0.020202		2.41192e-08		1.53385e-09		2.38418e-06		1.8966e-07		2.86014e-12		-0.000118434
0.030303		5.4195e-08		4.21497e-09		3.56482e-06		3.78703e-07		6.42568e-12		-0.000118433
0.040404		9.61357e-08		9.18441e-09		4.73106e-06		6.42286e-07		1.13977e-11		-0.000118431
0.0505051		1.49772e-07		1.71905e-08		5.87818e-06		9.7934e-07		1.7756e-11		-0.000118429
0.0606061		2.14887e-07		2.89691e-08		7.00155e-06		1.38849e-06		2.54748e-11		-0.000118427
0.0707071		2.91217e-07		4.52408e-08		8.09665e-06		1.86809e-06		3.45228e-11		-0.000118424
0.0808081		3.78456e-07		6.67082e-08		9.15905e-06		2.41617e-06		4.4863e-11		-0.00011842
0.0909091		4.76249e-07		9.40524e-08		1.01845e-05		3.03052e-06		5.64537e-11		-0.000118416
0.10101		5.84202e-07		1.27931e-07		1.11688e-05		3.70865e-06		6.92478e-11		-0.000118412
0.111111		7.01881e-07		1.68975e-07		1.2108e-05		4.4478e-06		8.31934e-11		-0.000118407
0.121212		8.28809e-07		2.17785e-07		1.29984e-05		5.24498e-06		9.82339e-11		-0.000118402
0.131313		9.64474e-07		2.74934e-07		1.38363e-05		6.09695e-06		1.14308e-10		-0.000118397
0.141414		1.10833e-06		3.40956e-07		1.46185e-05		7.00028e-06		1.31352e-10		-0.000118391
0.151515		1.2598e-06		4.16354e-07		1.53417e-05		7.95129e-06		1.49295e-10		-0.000118385
0.161616		1.41826e-06		5.01588e-07		1.60031e-05		8.94615e-06		1.68066e-10		-0.000118379
0.171717		1.58309e-06		5.97084e-07		1.66e-05		9.98083e-06		1.87588e-10		-0.000118373
0.181818		1.75362e-06		7.03221e-07		1.713e-05		1.10512e-05		2.07783e-10		-0.000118366
0.191919		1.92915e-06		8.20339e-07		1.75911e-05		1.21528e-05		2.28569e-10		-0.000118359
0.20202		2.10899e-06		9.48732e-07		1.79814e-05		1.32813e-05		2.49862e-10		-0.000118352
0.212121		2.29241e-06		1.08865e-06		1.82993e-05		1.44322e-05		2.71576e-10		-0.000118344
0.222222		2.47868e-06		1.24029e-06		1.85437e-05		1.56007e-05		2.93625e-10		-0.000118337
0.232323		2.66703e-06		1.40381e-06		1.87135e-05		1.67822e-05		3.15918e-10		-0.00011833
0.242424		2.85673e-06		1.57933e-06		1.8808e-05		1.7972e-05		3.38367e-10		-0.000118322
0.252525		3.04699e-06		1.76688e-06		1.88271e-05		1.91652e-05		3.60881e-10		-0.000118315
0.262626		3.23707e-06		1.9665e-06		1.87705e-05		2.0357e-05		3.8337e-10		-0.000118307
0.272727		3.42619e-06		2.17814e-06		1.86385e-05		2.15428e-05		4.05743e-10		-0.0001183
0.282828		3.61361e-06		2.40171e-06		1.84318e-05		2.27176e-05		4.27911e-10		-0.000118292
0.292929		3.79855e-06		2.63708e-06		1.81512e-05		2.38769e-05		4.49785e-10		-0.000118285
0.30303		3.9803e-06		2.88407e-06		1.77977e-05		2.50159e-05		4.71278e-10		-0.000118278
0.313131		4.1581e-06		3.14245e-06		1.73729e-05		2.61302e-05		4.92302e-10		-0.000118271
0.323232		4.33127e-06		3.41195e-06		1.68785e-05		2.72152e-05		5.12775e-10		-0.000118264
0.333333		4.49909e-06		3.69225e-06		1.63165e-05		2.82666e-05		5.32615e-10		-0.000118257
0.343434		4.66089e-06		3.98299e-06		1.56892e-05		2.92802e-05		5.51742e-10		-0.000118251
0.353535		4.81604e-06		4.28377e-06		1.49991e-05		3.0252e-05		5.70079e-10		-0.000118245
0.363636		4.9639e-06		4.59415e-06		1.42489e-05		3.11782e-05		5.87554e-10		-0.000118239
0.373737		5.1039e-06		4.91363e-06		1.34418e-05		3.20549e-05		6.04098e-10		-0.000118233
0.383838		5.23545e-06		5.24172e-06		1.25808e-05		3.28787e-05		6.19644e-10		-0.000118228
0.393939		5.35805e-06		5.57785e-06		1.16696e-05		3.36464e-05		6.3413e-10		-0.000118223
0.40404		5.4712e-06		5.92145e-06		1.07117e-05		3.43549e-05		6.47499e-10		-0.000118219
0.414141		5.57445e-06		6.27189e-06		9.71107e-06		3.50013e-05		6.59697e-10		-0.000118215
0.424242		5.66739e-06		6.62854e-06		8.67158e-06		3.55831e-05		6.70676e-10		-0.000118211
0.434343		5.74964e-06		6.99074e-06		7.59745e-06		3.6098e-05		6.80393e-10		-0.000118208
0.444444		5.82087e-06		7.35779e-06		6.49298e-06		3.65439e-05		6.88809e-10		-0.000118205
0.454545		5.88081e-06		7.729e-06		5.36256e-06		3.69191e-05		6.9589e-10		-0.000118203
0.464646		5.92921e-06		8.10364e-06		4.21074e-06		3.72221e-05		7.01608e-10		-0.000118201
0.474747		5.96587e-06		8.48096e-06		3.04209e-06		3.74517e-05		7.05941e-10		-0.0001182
0.484848		5.99066e-06		8.86023e-06		1.8613e-06		3.76069e-05		7.08871e-10		-0.000118199
0.494949		6.00348e-06		9.2407e-06		6.73065e-07		3.76871e-05		7.10387e-10		-0.000118198
0.505051		6.00426e-06		9.62159e-06		-5.17857e-07		3.76921e-05		7.10483e-10		-0.000118198
0.515152		5.99301e-06		1.00022e-05		-1.70672e-06		3.76218e-05		7.09158e-10		-0.000118199
0.525253		5.96978e-06		1.03816e-05		-2.88877e-06		3.74765e-05		7.06417e-10		-0.000118199
0.535354		5.93465e-06		1.07593e-05		-4.0593e-06		3.72568e-05		7.02272e-10		-0.000118201
0.545455		5.88777e-06		1.11343e-05		-5.21362e-06		3.69634e-05		6.96739e-10		-0.000118203
0.555556		5.82933e-06		1.1506e-05		-6.34714e-06		3.65977e-05		6.8984e-10		-0.000118205
0.565657		5.75955e-06		1.18736e-05		-7.45531e-06		3.61611e-05		6.81602e-10		-0.000118208
0.575758		5.67872e-06		1.22365e-05		-8.53371e-06		3.56552e-05		6.72058e-10		-0.000118211
0.585859		5.58715e-06		1.25939e-05		-9.57803e-06		3.50821e-05		6.61247e-10		-0.000118215
0.59596		5.48522e-06		1.29452e-05		-1.05841e-05		3.44441e-05		6.49209e-10		-0.000118219
0.606061		5.37333e-06		1.32898e-05		-1.15479e-05		3.37437e-05		6.35995e-10		-0.000118223
0.616162		5.25193e-06		1.36269e-05		-1.24655e-05		3.29837e-05		6.21656e-10		-0.000118228
0.626263		5.1215e-06		1.39561e-05		-1.33333e-05		3.21671e-05		6.06249e-10		-0.000118233
0.636364		4.98257e-06		1.42768e-05		-1.41478e-05		3.12972e-05		5.89836e-10		-0.000118239
0.646465		4.83569e-06		1.45884e-05		-1.49056e-05		3.03774e-05		5.72482e-10		-0.000118244
0.656566		4.68145e-06		1.48905e-05		-1.56039e-05		2.94114e-05		5.54256e-10		-0.000118251
0.666667		4.52046e-06		1.51826e-05		-1.62397e-05		2.84031e-05		5.35231e-10		-0.000118257
0.676768		4.35337e-06		1.54643e-05		-1.68105e-05		2.73564e-05		5.15483e-10		-0.000118263
0.686869		4.18085e-06		1.57352e-05		-1.7314e-05		2.62756e-05		4.9509e-10		-0.00011827
0.69697		4.0036e-06		1.59951e-05		-1.77481e-05		2.5165e-05		4.74134e-10		-0.000118277
0.707071		3.82231e-06		1.62436e-05		-1.8111e-05		2.40289e-05		4.527e-10		-0.000118284
0.717172		3.63772e-06		1.64805e-05		-1.84014e-05		2.28721e-05		4.30872e-10		-0.000118292
0.727273		3.45056e-06		1.67057e-05		-1.8618e-05		2.1699e-05		4.08738e-10		-0.000118299
0.737374		3.2616e-06		1.69189e-05		-1.87598e-05		2.05144e-05		3.86387e-10		-0.000118307
0.747475		3.07158e-06		1.71201e-05		-1.88264e-05		1.93231e-05		3.63908e-10		-0.000118314
0.757576		2.88126e-06		1.73092e-05		-1.88174e-05		1.81298e-05		3.41392e-10		-0.000118322
0.767677		2.69143e-06		1.74863e-05		-1.87328e-05		1.69393e-05		3.18929e-10		-0.000118329
0.777778		2.50282e-06		1.76515e-05		-1.85729e-05		1.57564e-05		2.96609e-10		-0.000118337
0.787879		2.31621e-06		1.78047e-05		-1.83384e-05		1.45859e-05		2.74522e-10		-0.000118344
0.79798		2.13235e-06		1.79461e-05		-1.80302e-05		1.34324e-05		2.52758e-10		-0.000118351
0.808081		1.95197e-06		1.8076e-05		-1.76494e-05		1.23006e-05		2.31403e-10		-0.000118358
0.818182		1.7758e-06		1.81946e-05		-1.71975e-05		1.11952e-05		2.10544e-10		-0.000118365
0.828283		1.60454e-06		1.83022e-05		-1.66765e-05		1.01205e-05		1.90264e-10		-0.000118372
0.838384		1.4389e-06		1.83991e-05		-1.60883e-05		9.08081e-06		1.70647e-10		-0.000118379
0.848485		1.27953e-06		1.84856e-05		-1.54353e-05		8.08045e-06		1.51771e-10		-0.000118385
0.858586		1.12707e-06		1.85623e-05		-1.47201e-05		7.12341e-06		1.33712e-10		-0.000118391
0.868687		9.82153e-07		1.86295e-05		-1.39455e-05		6.21356e-06		1.16543e-10		-0.000118397
0.878788		8.45347e-07		1.86878e-05		-1.31148e-05		5.35459e-06		1.00335e-10		-0.000118402
0.888889		7.17208e-07		1.87377e-05		-1.22311e-05		4.54997e-06		8.51515e-11		-0.000118407
0.89899		5.98253e-07		1.87798e-05		-1.12981e-05		3.80297e-06		7.10554e-11		-0.000118412
0.909091		4.88962e-07		1.88145e-05		-1.03196e-05		3.11661e-06		5.81034e-11		-0.000118416
0.919192		3.89777e-07		1.88427e-05		-9.29936e-06		2.49368e-06		4.63482e-11		-0.00011842
0.929293		3.01097e-07		1.88649e-05		-8.2416e-06		1.9367e-06		3.58374e-11		-0.000118423
0.939394		2.2328e-07		1.88818e-05		-7.15058e-06		1.44793e-06		2.66136e-11		-0.000118426
0.949495		1.56641e-07		1.88942e-05		-6.03068e-06		1.02936e-06		1.87144e-11		-0.000118429
0.959596		1.01448e-07		1.89026e-05		-4.88644e-06		6.82692e-07		1.21717e-11		-0.000118431
0.969697		5.79246e-08		1.8908e-05		-3.72246e-06		4.09327e-07		7.01214e-12		-0.000118433
0.979798		2.62466e-08		1.89109e-05		-2.54346e-06		2.1038e-07		3.25671e-12		-0.000118434
0.989899		6.54166e-09		1.89122e-05		-1.35418e-06		8.66564e-08		9.20656e-13		-0.000118435
1		-1.11059e-09		1.89127e-05		-1.59439e-07		3.86605e-08		1.34577e-14		-0.000118435
