time		x		y		vx		vy		KineticEnergy		PotentialEnergy
0		0		0		0		0		0		0
0.01001001001		5.921853241e-09		3.731915924e-10		1.183186285e-06		7.456368061e-08		7.027447633e-13		-0.0001184350219
0.02002002002		2.368741311e-08		1.492766379e-09		2.362849662e-06		1.862604207e-07		2.808875735e-12		-0.0001184343299
0.03003003003		5.322615078e-08		4.102128944e-09		3.533134406e-06		3.719263303e-07		6.310683962e-12		-0.0001184331797
0.04004004004		9.442083464e-08		8.938738957e-09		4.689398541e-06		6.308205713e-07		1.119419664e-11		-0.0001184315759
0.05005005005		1.471080035e-07		1.673116941e-08		5.827056677e-06		9.619102553e-07		1.743993043e-11		-0.0001184295248
0.06006006006		2.11078626e-07		2.819620153e-08		6.941598484e-06		1.363874705e-06		2.502297186e-11		-0.0001184270347
0.07007007007		2.860789441e-07		4.403596831e-08		8.028606856e-06		1.835110899e-06		3.391308003e-11		-0.0001184241154
0.08008008008		3.71811496e-07		6.493515846e-08		9.083775667e-06		2.373740073e-06		4.407481115e-11		-0.0001184207787
0.09009009009		4.679363148e-07		9.155829209e-08		1.010292705e-05		2.977615452e-06		5.546766438e-11		-0.0001184170378
0.1001001001		5.740722978e-07		1.245470794e-07		1.108202814e-05		3.644331073e-06		6.804624831e-11		-0.0001184129077
0.1101101101		6.8979874e-07		1.645178731e-07		1.201720717e-05		4.371231655e-06		8.176046718e-11		-0.0001184084048
0.1201201201		8.146570259e-07		2.120592247e-07		1.290476893e-05		5.155423485e-06		9.655572623e-11		-0.0001184035472
0.1301301301		9.481524723e-07		2.677295545e-07		1.374120942e-05		5.99378625e-06		1.123731549e-10		-0.000118398354
0.1401401401		1.089756314e-06		3.320549454e-07		1.452322973e-05		6.882985782e-06		1.291498475e-10		-0.0001183928461
0.1501501502		1.238907822e-06		4.055270677e-07		1.524774905e-05		7.819487642e-06		1.46819119e-10		-0.0001183870453
0.1601601602		1.395016555e-06		4.886012445e-07		1.591191677e-05		8.799571494e-06		1.65310777e-10		-0.0001183809747
