Timelimit= 10. Convergence criteria: dE <  1e-005

dt 	Total energy 	 Change in energy 	
0.1	-0.000156226	2.14271e-005
0.01	4.39835e-005	0.000221636
0.001	5.43406e-005	0.000231994
0.0001	5.53714e-005	0.000233024
1e-005	5.54744e-005	0.000233127
1e-006	5.54847e-005	0.000233138
1e-007	5.54858e-005	0.000233139
1e-008	5.54859e-005	0.000233139
1e-009	5.54859e-005	0.000233139
1e-010	5.54859e-005	0.000233139
1e-011	5.54859e-005	0.000233139
1e-012	5.54859e-005	0.000233139
1e-013	5.54859e-005	0.000233139
1e-014	5.54859e-005	0.000233139
1e-015	5.54859e-005	0.000233139
