Timelimit= 10. Convergence criteria: |E_start - E_end| <  1e-011

dt 	Total energy 	 Difference in energy 	
0.1	-0.000177653	1.79513e-010
0.01	-0.000177653	1.79513e-010
0.001	-0.000177653	1.79513e-010
0.0001	-0.000177653	1.79513e-010
1e-005	-0.000177653	1.79513e-010
1e-006	-0.000177653	1.79513e-010
1e-007	-0.000177653	1.79513e-010
1e-008	-0.000177653	1.79513e-010
1e-009	-0.000177653	1.79513e-010
1e-010	-0.000177653	1.79513e-010
1e-011	-0.000177653	1.79513e-010
1e-012	-0.000177653	1.79513e-010
1e-013	-0.000177653	1.79513e-010
1e-014	-0.000177653	1.79513e-010
1e-015	-0.000177653	1.79513e-010
