Timelimit= 10. Convergence criteria: |E_start - E_end| <  1e-011

dt 	Total energy 	 Difference in energy 	
0.1	33.8314	33.8316
0.01	0.0025126	0.00269025
0.001	-0.000177652	4.20949e-010
0.0001	4.34043e-005	0.000221057
1e-005	5.42475e-005	0.0002319
1e-006	5.53285e-005	0.000232981
1e-007	5.54366e-005	0.000233089
1e-008	5.54474e-005	0.0002331
1e-009	5.54484e-005	0.000233101
1e-010	5.54486e-005	0.000233101
1e-011	5.54486e-005	0.000233101
1e-012	5.54486e-005	0.000233101
1e-013	5.54486e-005	0.000233101
1e-014	5.54486e-005	0.000233101
1e-015	5.54486e-005	0.000233101
