time		x		y		vx		vy		KineticEnergy		PotentialEnergy		AngularMomentum
0		1		0		0		6.28319		5.921762641e-005		-0.0001184352528		1.884955592e-005
0.1001001001		0.6044241191		0.6289474782		-3.95180305		6.283185307		8.264274743e-005		-0.0001184353934		1.884955592e-005
0.2002002002		-0.1513806527		0.8830489914		-7.55048967		2.538474117		9.518061765e-005		-0.0001357743747		1.884952926e-005
0.3003003003		-0.8239140528		0.6514230811		-6.718608667		-2.313942844		7.574105085e-005		-0.0001321928448		1.884944036e-005
0.4004004004		-1.21516689		0.1974084204		-3.908615844		-4.535606461		5.377350568e-005		-0.0001127602865		1.884933743e-005
0.5005005005		-1.348796848		-0.2984556111		-1.334963276		-4.953681675		3.948163363e-005		-9.620258237e-005		1.884924884e-005
0.6006006006		-1.280036978		-0.7495339363		0.6869110954		-4.506272469		3.116750762e-005		-8.573366321e-005		1.884917571e-005
0.7007007007		-1.056138548		-1.109768307		2.23674532		-3.598741359		2.69309535e-005		-7.984292759e-005		1.884911562e-005
0.8008008008		-0.7160515605		-1.34791266		3.397469003		-2.379062091		2.580409809e-005		-7.730688692e-005		1.884906781e-005
0.9009009009		-0.29630532		-1.436102967		4.193264943		-0.8810211703		2.753950377e-005		-7.759515323e-005		1.884903446e-005
1.001001001		0.1606146986		-1.344121786		4.564630985		0.9188919986		3.25203278e-005		-8.076736661e-005		1.884902255e-005
1.101101101		0.5919231498		-1.037801945		4.308771428		3.060135212		4.18949081e-005		-8.748953909e-005		1.884904873e-005
1.201201201		0.885938107		-0.4907636117		2.937209422		5.464912953		5.773870916e-005		-9.912876515e-005		1.884915042e-005
1.301301301		0.8426155059		0.2431513376		-0.4327927853		7.331810343		8.091412876e-005		-0.0001169387864		1.884939368e-005
1.401401401		0.3051234667		0.8344787845		-5.369545471		5.907361195		9.559340228e-005		-0.0001350477136		1.884973892e-005
1.501501502		-0.4044540938		0.9551792954		-7.08867983		1.205798103		7.755499619e-005		-0.0001332998433		1.884981068e-005
1.601601602		-0.9706659337		0.737314917		-5.65645628		-2.17646514		5.509874723e-005		-0.0001141812115		1.884963048e-005
1.701701702		-1.324864032		0.358413468		-3.538439002		-3.785225476		4.02727237e-005		-9.716319096e-005		1.884939984e-005
1.801801802		-1.476350832		-0.07532162429		-1.513353129		-4.333013572		3.159786646e-005		-8.629245127e-005		1.884917992e-005
1.901901902		-1.447057709		-0.4998290172		0.2926382931		-4.240828855		2.710539982e-005		-8.011691604e-005		1.88489796e-005
