time		x		y		vx		vy		KineticEnergy		PotentialEnergy		AngularMomentum
0		1		0		0		6.28319		5.921762641e-005		-0.0001184352528		1.884955592e-005
0.0100010001		0.9980256842		0.06283813689		-0.3944327695		6.270780388		5.921739582e-005		-0.0001184350227		1.884955592e-005
0.0200020002		0.9921105557		0.1254281506		-0.7873035005		6.233615043		5.921670497e-005		-0.0001184343333		1.884955592e-005
0.0300030003		0.9822780394		0.1875229062		-1.177056453		6.171837315		5.92155566e-005		-0.0001184331872		1.884955591e-005
0.0400040004		0.9685670723		0.2488772418		-1.562148448		6.085693258		5.92139553e-005		-0.0001184315892		1.884955589e-005
0.0500050005		0.9510319458		0.309248944		-1.941055081		5.97552593		5.921190745e-005		-0.0001184295455		1.884955586e-005
0.0600060006		0.9297420881		0.3683997126		-2.312276855		5.841773979		5.920942121e-005		-0.0001184270643		1.88495558e-005
0.0700070007		0.9047817837		0.4260961083		-2.674345209		5.684969835		5.920650649e-005		-0.0001184241554		1.88495557e-005
0.0800080008		0.8762498347		0.4821104804		-3.025828408		5.505737527		5.920317491e-005		-0.0001184208305		1.884955556e-005
0.0900090009		0.8442591633		0.5362218714		-3.365337281		5.304790114		5.919943975e-005		-0.0001184171028		1.884955535e-005
0.100010001		0.8089363578		0.5882168933		-3.691530773		5.082926763		5.919531588e-005		-0.0001184129872		1.884955507e-005
0.1100110011		0.7704211641		0.6378905735		-4.003121296		4.841029474		5.919081972e-005		-0.0001184084999		1.884955471e-005
0.1200120012		0.7288659248		0.6850471658		-4.29887985		4.580059477		5.918596917e-005		-0.000118403659		1.884955423e-005
0.1300130013		0.6844349684		0.7295009241		-4.577640897		4.301053301		5.918078353e-005		-0.0001183984836		1.884955364e-005
0.1400140014		0.6373039507		0.7710768348		-4.838306967		4.005118554		5.917528341e-005		-0.0001183929943		1.88495529e-005
0.1500150015		0.5876591515		0.8096113062		-5.079852979		3.693429413		5.916949068e-005		-0.0001183872129		1.8849552e-005
0.1600160016		0.5356967304		0.8449528107		-5.301330256		3.367221864		5.916342834e-005		-0.0001183811624		1.884955093e-005
0.1700170017		0.4816219427		0.8769624786		-5.501870224		3.02778869		5.915712047e-005		-0.0001183748668		1.884954966e-005
0.1800180018		0.425648321		0.9055146407		-5.680687778		2.676474254		5.915059209e-005		-0.0001183683511		1.884954817e-005
0.1900190019		0.3679968246		0.9304973172		-5.837084302		2.314669071		5.914386908e-005		-0.0001183616411		1.884954645e-005
0.200020002		0.3088949597		0.9518126519		-5.970450334		1.943804227		5.913697809e-005		-0.0001183547633		1.884954448e-005
0.2100210021		0.2485758758		0.9693772897		-6.080267865		1.565345632		5.912994639e-005		-0.0001183477451		1.884954223e-005
0.2200220022		0.1872774406		0.9831226955		-6.166112269		1.180788166		5.912280181e-005		-0.0001183406141		1.88495397e-005
0.2300230023		0.125241297		0.9929954148		-6.22765385		0.7916497081		5.91155726e-005		-0.0001183333986		1.884953686e-005
0.2400240024		0.06271190707		0.9989572732		-6.26465901		0.3994651075		5.910828733e-005		-0.000118326127		1.88495337e-005
0.2500250025		-6.441378008e-005		1.000985516		-6.276991033		0.005780094117		5.910097475e-005		-0.0001183188282		1.884953021e-005
0.2600260026		-0.06284046882		0.9990728866		-6.264610479		-0.3878548326		5.909366373e-005		-0.0001183115308		1.884952636e-005
