time		x		y		vx		vy		KineticEnergy		PotentialEnergy
0		0.893031		0.450841		-2.912		5.59839		5.973261185e-05		0
0.0100010001		0.8621271292		0.5059408603		-3.262508471		5.409117301		5.985376726e-05		-0.000119071033
0.0200020002		0.8277743011		0.5590343514		-3.600976819		5.197541171		5.997220241e-05		-0.0001191895837
0.0300030003		0.7901003901		0.6099020799		-3.92593547		4.964403845		6.008741227e-05		-0.0001193048912
0.0400040004		0.749247739		0.658332358		-4.235960892		4.710545141		6.019890031e-05		-0.0001194164586
0.0500050005		0.7053726995		0.7041224047		-4.529678987		4.436905315		6.030618076e-05		-0.0001195237999
0.0600060006		0.658645099		0.7470793391		-4.805772971		4.144522528		6.040878124e-05		-0.0001196264425
0.0700070007		0.6092476276		0.7870211452		-5.062991184		3.834529599		6.050624547e-05		-0.0001197239303
0.0800080008		0.5573751483		0.8237776009		-5.300154763		3.508150043		6.059813585e-05		-0.0001198158261
0.0900090009		0.503233931		0.857191163		-5.516165078		3.166693374		6.068403613e-05		-0.0001199017139
0.100010001		0.4470408133		0.8871178024		-5.710010876		2.811549707		6.076355394e-05		-0.0001199812023
0.1100110011		0.3890222923		0.9134277808		-5.88077504		2.444183656		6.083632322e-05		-0.0001200539258
0.1200120012		0.3294135498		0.9360063643		-6.027640885		2.066127567		6.090200664e-05		-0.0001201195484
0.1300130013		0.2684574181		0.9547544648		-6.149897913		1.678974131		6.096029772e-05		-0.0001201777647
0.1400140014		0.2064032905		0.9695892052		-6.246946966		1.284368416		6.101092293e-05		-0.0001202283026
0.1500150015		0.1435059836		0.9804444021		-6.318304686		0.8839993787		6.105364352e-05		-0.0001202709249
0.1600160016		0.08002455889		0.987270961		-6.363607255		0.4795909322		6.108825713e-05		-0.000120305431
0.1700170017		0.01622111006		0.9900371801		-6.382613323		0.07289263828		6.111459924e-05		-0.0001203316583
0.1800180018		-0.04764047406		0.9887289596		-6.375206117		-0.3343298904		6.113254427e-05		-0.0001203494831
0.1900190019		-0.111295764		0.9833499135		-6.341394677		-0.7403047897		6.114200644e-05		-0.0001203588218
0.200020002		-0.1744810517		0.973921383		-6.281314199		-1.143263851		6.114294045e-05		-0.0001203596312
0.2100210021		-0.2369346118		0.9604823497		-6.195225487		-1.541452444		6.113534171e-05		-0.0001203519091
0.2200220022		-0.2983979531		0.9430892509		-6.083513501		-1.93313935		6.111924639e-05		-0.000120335694
0.2300230023		-0.3586170501		0.9218156961		-5.946685023		-2.316626431		6.109473118e-05		-0.0001203110649
