time		x		y		vx		vy		KineticEnergy		PotentialEnergy		AngularMomentum
0		0		0		0		0		0		-0.0001184352528		0
0.1001001001		1.186724791e-006		0		1.185538066e-005		0		7.027502532e-011		-0.0001184352528		0
0.2002002002		3.454131414e-006		1.12453065e-006		2.265139216e-005		1.123406119e-005		3.196448488e-010		-0.0001357740039		1.333173892e-011
0.3003003003		5.471729103e-006		3.706237024e-006		2.015580092e-005		2.579124668e-005		5.35722358e-010		-0.0001321925196		6.642053945e-011
0.4004004004		6.645488966e-006		6.955110874e-006		1.172586103e-005		3.245624976e-005		5.954519828e-010		-0.000112760169		1.341329861e-010
0.5005005005		7.046380734e-006		1.032953494e-005		4.004908762e-006		3.371049638e-005		5.7621843e-010		-9.620257101e-005		1.961681472e-010
0.6006006006		6.84010228e-006		1.356960319e-005		-2.060721755e-006		3.236828189e-005		5.259761235e-010		-8.573369416e-005		2.493655353e-010
0.7007007007		6.168407039e-006		1.653714016e-005		-6.710235456e-006		2.964569432e-005		4.619472257e-010		-7.98429771e-005		2.938348138e-010
0.8008008008		5.14814499e-006		1.91384071e-005		-1.019241788e-005		2.598665667e-005		3.895958536e-010		-7.730694651e-005		3.28849719e-010
0.9009009009		3.888904148e-006		2.128981146e-005		-1.257981601e-005		2.149252958e-005		3.100902992e-010		-7.759521979e-005		3.514042984e-010
1.001001001		2.518141161e-006		2.290070053e-005		-1.369392224e-005		1.609278183e-005		2.232505667e-010		-8.076743825e-005		3.541243086e-010
1.101101101		1.224212446e-006		2.386857251e-005		-1.292634787e-005		9.669041054e-006		1.30290412e-010		-8.748961113e-005		3.203704317e-010
1.201201201		3.421642629e-007		2.411428801e-005		-8.811661347e-006		2.454697908e-006		4.183545875e-011		-9.912881911e-005		2.133268495e-010
1.301301301		4.721280759e-007		2.379937377e-005		1.298338492e-006		-3.145993278e-006		5.791478273e-012		-0.0001169387557		-3.238495482e-011
1.401401401		2.084594967e-006		2.391221991e-005		1.610854425e-005		1.127332881e-006		1.303780386e-010		-0.0001350474702		-3.828410199e-010
1.501501502		4.213318235e-006		2.543693906e-005		2.126594544e-005		1.523194439e-005		3.421262827e-010		-0.0001332995188		-4.767635293e-010
1.601601602		5.911948245e-006		2.797735064e-005		1.69693138e-005		2.537871161e-005		4.660183069e-010		-0.0001141810269		-3.247188126e-010
1.701701702		6.974539277e-006		3.100087422e-005		1.061528441e-005		3.020500064e-005		5.125131634e-010		-9.716311263e-005		-1.184171336e-010
1.801801802		7.428997155e-006		3.418890006e-005		4.540034201e-006		3.184837811e-005		5.174655493e-010		-8.629242652e-005		8.138273478e-011
1.901901902		7.341115161e-006		3.734924396e-005		-8.779411204e-007		3.157183552e-005		4.987757893e-010		-8.011692001e-005		2.645629175e-010
2.002002002		6.774669685e-006		4.034427546e-005		-5.658790304e-006		2.992036469e-005		4.636250656e-010		-7.735970769e-005		4.310003824e-010
2.102102102		5.790759724e-006		4.305089828e-005		-9.82926051e-006		2.703916204e-005		4.138653229e-010		-7.744293532e-005		5.797357849e-010
2.202202202		4.461684388e-006		4.533359985e-005		-1.32774626e-005		2.280418866e-005		3.481610167e-010		-8.038383219e-005		7.036602692e-010
2.302302302		2.904986301e-006		4.70209144e-005		-1.55514139e-005		1.685627236e-005		2.62990196e-010		-8.679947656e-005		7.80208942e-010
2.402402402		1.36956824e-006		4.789583332e-005		-1.533882643e-005		8.740439964e-006		1.558374435e-010		-9.800861346e-005		7.466365028e-010
2.502502503		4.306108093e-007		4.781511329e-005		-9.380184731e-006		-8.0639306e-007		4.431906768e-011		-0.0001153911062		4.48167354e-010
2.602602603		9.680496623e-007		4.736400514e-005		5.369014141e-006		-4.506570461e-006		2.456774508e-011		-0.0001341326081		-2.586605974e-010
2.702702703		2.6782791e-006		4.789031389e-005		1.708519208e-005		5.257824413e-006		1.597742529e-010		-0.0001343325866		-8.041332902e-010
2.802802803		4.50713149e-006		4.954306128e-005		1.827023538e-005		1.651094643e-005		3.032064264e-010		-0.000115706347		-8.307463842e-010
2.902902903		5.995766286e-006		5.193795021e-005		1.487146162e-005		2.392494048e-005		3.967815739e-010		-9.823350048e-005		-6.289448817e-010
3.003003003		7.015664508e-006		5.476776783e-005		1.018878323e-005		2.826987795e-005		4.514986516e-010		-8.693689714e-005		-3.596849351e-010
3.103103103		7.53749512e-006		5.782539939e-005		5.213087817e-006		3.054573936e-005		4.801092388e-010		-8.04591862e-005		-7.121052373e-011
