time		x		y		vx		vy		KineticEnergy		PotentialEnergy		AngularMomentum
0		0		0		0		0		0		-0.0001184352528		0
0.0100010001		5.922947171e-009		0		1.184470982e-006		0		7.014857539e-013		-0.0001184352535		0
0.0200020002		2.369178882e-008		0		2.367769277e-006		3.72147597e-008		2.803858143e-012		-0.0001184350248		8.816842279e-016
0.0300030003		5.328306872e-008		7.443696309e-010		3.54638149e-006		1.487107972e-007		6.299468287e-012		-0.0001184343367		5.283948945e-015
0.0400040004		9.462651209e-008		2.974513395e-009		4.715640395e-006		3.340439961e-007		1.117442486e-011		-0.0001184331921		1.758268271e-014
0.0500050005		1.476053088e-007		7.425917707e-009		5.870916452e-006		5.924761927e-007		1.740934401e-011		-0.0001184315954		4.385568897e-014
0.0600060006		2.120565841e-007		1.482522232e-008		7.007636444e-006		9.229782173e-007		2.497942866e-011		-0.000118429553		9.183383978e-014
0.0700070007		2.877720544e-007		2.588732819e-008		8.121301881e-006		1.324234132e-006		3.385457014e-011		-0.0001184270731		1.708387695e-013
0.0800080008		3.74498866e-007		4.131255369e-008		9.207507074e-006		1.794646645e-006		4.399947155e-011		-0.0001184241655		2.91707503e-013
0.0900090009		4.719406127e-007		6.178385074e-008		1.026195682e-005		2.332343678e-006		5.537379236e-011		-0.0001184208418		4.667044961e-013
0.100010001		5.797585283e-007		8.79640924e-008		1.128048359e-005		2.935186054e-006		6.793231357e-011		-0.0001184171153		7.094216462e-013
0.1100110011		6.975728477e-007		1.204934428e-007		1.225906422e-005		3.600776273e-006		8.16251227e-011		-0.0001184130007		1.034666905e-012
0.1200120012		8.249643333e-007		1.599868201e-007		1.319383595e-005		4.326468333e-006		9.639781769e-011		-0.0001184085145		1.458342204e-012
0.1300130013		9.614759571e-007		2.070314632e-007		1.408111177e-005		5.109378549e-006		1.121917289e-010		-0.0001184036746		1.997311456e-012
0.1400140014		1.106614734e-006		2.621846109e-007		1.491739506e-005		5.946397332e-006		1.289441583e-010		-0.0001183985001		2.669259481e-012
0.1500150015		1.259853696e-006		3.259713039e-007		1.569939341e-005		6.834201861e-006		1.465886342e-010		-0.0001183930117		3.492542734e-012
0.1600160016		1.420634004e-006		3.988823179e-007		1.642403156e-005		7.769269596e-006		1.650551814e-010		-0.0001183872311		4.486032794e-012
0.1700170017		1.588367179e-006		4.813722359e-007		1.708846349e-005		8.747892582e-006		1.842706045e-010		-0.0001183811813		5.668953581e-012
0.1800180018		1.762437454e-006		5.738576671e-007		1.769008347e-005		9.766192463e-006		2.041587841e-010		-0.0001183748863		7.060713352e-012
0.1900190019		1.942204232e-006		6.767156195e-007		1.822653617e-005		1.082013616e-005		2.246409836e-010		-0.0001183683712		8.680732512e-012
0.200020002		2.127004634e-006		7.902820326e-007		1.869572576e-005		1.19055521e-005		2.456361662e-010		-0.0001183616616		1.054826834e-011
0.2100210021		2.316156142e-006		9.14850475e-007		1.909582383e-005		1.301814705e-005		2.670613201e-010		-0.0001183547842		1.268223774e-011
0.2200220022		2.508959306e-006		1.050671012e-006		1.942527636e-005		1.415352325e-005		2.88831791e-010		-0.0001183477663		1.510103908e-011
0.2300230023		2.704700524e-006		1.19794925e-006		1.968280948e-005		1.530719607e-005		3.108616202e-010		-0.0001183406355		1.782237438e-011
0.2400240024		2.902654865e-006		1.356845551e-006		1.986743408e-005		1.647461186e-005		3.330638865e-010		-0.0001183334202		2.086307273e-011
0.2500250025		3.102088944e-006		1.52747444e-006		1.997844939e-005		1.765116608e-005		3.553510519e-010		-0.0001183261487		2.423891637e-011
0.2600260026		3.302263814e-006		1.709904179e-006		2.001544524e-005		1.883222152e-005		3.776353078e-010		-0.0001183188497		2.796447022e-011
0.2700270027		3.502437884e-006		1.904156538e-006		1.997830332e-005		2.001312669e-005		3.998289217e-010		-0.0001183115522		3.20529162e-011
0.2800280028		3.701869841e-006		2.110206743e-006		1.986719718e-005		2.11892341e-005		4.218445829e-010		-0.0001183042848		3.651589323e-011
0.2900290029		3.899821566e-006		2.327983603e-006		1.968259113e-005		2.235591858e-005		4.435957447e-010		-0.0001182970762		4.136334399e-011
0.300030003		4.095561033e-006		2.557369831e-006		1.942523798e-005		2.350859537e-005		4.649969633e-010		-0.0001182899547		4.660336955e-011
0.3100310031		4.28836518e-006		2.798202532e-006		1.909617567e-005		2.464273803e-005		4.859642313e-010		-0.0001182829483		5.22420926e-011
0.3200320032		4.477522742e-006		3.050273882e-006		1.869672279e-005		2.575389612e-005		5.064153042e-010		-0.0001182760847		5.828353035e-011
0.3300330033		4.662337033e-006		3.313331968e-006		1.822847306e-005		2.683771243e-005		5.262700193e-010		-0.0001182693906		6.472947801e-011
0.3400340034		4.842128664e-006		3.587081811e-006		1.769328868e-005		2.78899399e-005		5.454506061e-010		-0.0001182628925		7.157940344e-011
0.3500350035		5.016238196e-006		3.871186551e-006		1.709329273e-005		2.890645803e-005		5.638819861e-010		-0.0001182566158		7.883035395e-011
0.3600360036		5.184028709e-006		4.16526879e-006		1.643086057e-005		2.98832887e-005		5.814920613e-010		-0.0001182505851		8.647687582e-011
0.3700370037		5.344888273e-006		4.468912098e-006		1.570861024e-005		3.081661153e-005		5.982119909e-010		-0.000118244824		9.451094719e-011
0.3800380038		5.498232334e-006		4.78166266e-006		1.492939208e-005		3.170277844e-005		6.139764544e-010		-0.0001182393551		1.029219249e-010
0.3900390039		5.643505976e-006		5.103031079e-006		1.409627729e-005		3.253832769e-005		6.287239013e-010		-0.0001182341997		1.116965057e-010
0.400040004		5.780186075e-006		5.432494297e-006		1.32125459e-005		3.331999701e-005		6.423967849e-010		-0.0001182293781		1.208187024e-010
0.4100410041		5.907783322e-006		5.769497665e-006		1.228167378e-005		3.404473602e-005		6.549417808e-010		-0.000118224909		1.302698354e-010
0.4200420042		6.025844116e-006		6.113457114e-006		1.130731904e-005		3.470971787e-005		6.663099894e-010		-0.0001182208099		1.400285392e-010
0.4300430043		6.13395232e-006		6.463761449e-006		1.029330773e-005		3.531234991e-005		6.7645712e-010		-0.0001182170969		1.500707849e-010
0.4400440044		6.23173086e-006		6.819774744e-006		9.243618938e-006		3.585028349e-005		6.853436586e-010		-0.0001182137844		1.60369919e-010
0.4500450045		6.318843188e-006		7.180838827e-006		8.162369324e-006		3.632142287e-005		6.929350162e-010		-0.0001182108853		1.708967169e-010
0.4600460046		6.394994573e-006		7.546275851e-006		7.053797172e-006		3.672393311e-005		6.99201659e-010		-0.0001182084109		1.816194537e-010
0.4700470047		6.45993324e-006		7.915390944e-006		5.922245991e-006		3.705624698e-005		7.041192188e-010		-0.000118206371		1.925039893e-010
0.4800480048		6.513451338e-006		8.287474911e-006		4.772147743e-006		3.731707083e-005		7.076685848e-010		-0.0001182047733		2.035138703e-010
0.4900490049		6.55538574e-006		8.661807002e-006		3.608005758e-006		3.750538952e-005		7.098359744e-010		-0.0001182036242		2.146104461e-010
0.500050005		6.58561867e-006		9.03765772e-006		2.434377384e-006		3.762047017e-005		7.106129847e-010		-0.000118202928		2.257530012e-010
0.5100510051		6.604078157e-006		9.414291654e-006		1.255856458e-006		3.766186495e-005		7.099966235e-010		-0.0001182026876		2.368989007e-010
0.5200520052		6.610738311e-006		9.79097035e-006		7.705563235e-008		3.762941273e-005		7.0798932e-010		-0.0001182029038		2.48003751e-010
0.5300530053		6.605619424e-006		1.016695518e-005		-1.097411355e-006		3.752323972e-005		7.045989155e-010		-0.0001182035758		2.590215732e-010
0.5400540054		6.588787889e-006		1.05415102e-005		-2.26294742e-006		3.734375898e-005		6.998386329e-010		-0.000118204701		2.699049902e-010
0.5500550055		6.560355949e-006		1.091390505e-005		-3.414989815e-006		3.709166886e-005		6.937270273e-010		-0.0001182062749		2.806054251e-010
0.5600560056		6.520481262e-006		1.128341777e-005		-4.549027678e-006		3.676795041e-005		6.862879152e-010		-0.0001182082914		2.910733114e-010
0.5700570057		6.469366296e-006		1.16493376e-005		-5.660619412e-006		3.637386367e-005		6.77550285e-010		-0.0001182107427		3.012583142e-010
0.5800580058		6.407257551e-006		1.201096779e-005		-6.745409803e-006		3.591094292e-005		6.675481876e-010		-0.0001182136191		3.111095601e-010
0.5900590059		6.334444608e-006		1.236762829e-005		-7.799146841e-006		3.538099098e-005		6.563206072e-010		-0.0001182169094		3.205758767e-010
0.600060006		6.251259015e-006		1.271865838e-005		-8.817698157e-006		3.478607234e-005		6.439113148e-010		-0.0001182206008		3.296060389e-010
0.6100610061		6.158073008e-006		1.306341931e-005		-9.797067047e-006		3.412850541e-005		6.303687021e-010		-0.0001182246788		3.381490228e-010
0.6200620062		6.055298078e-006		1.340129676e-005		-1.073340799e-005		3.341085377e-005		6.157455983e-010		-0.0001182291275		3.461542642e-010
0.6300630063		5.943383379e-006		1.373170322e-005		-1.162304162e-005		3.263591646e-005		6.000990698e-010		-0.0001182339296		3.535719215e-010
0.6400640064		5.822813997e-006		1.405408036e-005		-1.246246912e-005		3.180671739e-005		5.834902038e-010		-0.0001182390661		3.603531418e-010
